track,race,racedate,posttime,gait,purse,tcr,condition,pp,horse,driver,power,pace,speed,class,avgspd,bestspd,avgcr,dayssince,avgfinalodds_to1,avgfinalodds_dec,avgfinalodds_used,formstring,itm_pct,fp_grit_count,fp_gain_count,fp_outsideboard_count,fp_improve_count,fp_finishbonus_sum,fp_pp_dates_used,formpoints,avgwinclass,medianpurse10,avgcr_10,mediancr_10,classvstoday,earlyspeedpoints,earlyspeedstarts,earlyspeedrating,pp_power_last,postrtg_fast,sourcexml,driverrating,powerpoints,pp_pace2,pp_avgcr2,pp_bestspd2,pp_avgspd2,pp_power2,pp_bonus1,fieldstrength,dominanthorse,dominanceindex,fieldstrength_z,pace_z,avgspd_z,bestspd_z,avgcr_z,power_z,driverrating_z,postrtg_z,earlyspeedrating_z,postrtg_z.1,layoff_tier,layoff_label,rank_formpoints,rank_powerpoints,rank_avgcr,rank_bestspd,rank_earlyspeed,rank_power,rank_speed,rank_pace,indexvalue,morningline,ml_decimal,odds_morning_dec,superfav_prob,superfav_probpct,superfav_flag,harnesselite_line_prob,harnesselite_line_odds,ml_impliedprob,prob_delta,overlayflag,date,gait_race,leadthreatindex,racetype,condition_race,tcr_race,purse_race,fieldsize,fieldstrength_race,below2.0count,below3.0count,below5.0count,cluster2.5to6count,oddssd,top5range,oddsrange,competitiveclusterflag,classtag,adjustedpoints,classband,racedate_race,date.1,improvementflag,SituationScore,AvgSpd10-ES,FieldPaceMean-ES,Advantage-ES,ValuePlay,ClassChange,CompetitivenessIndex,ReboundScore,TrendBase,LastOutDelta,TrendDirection,Trend2Back,Trend3Back,ContinuationScore,FormAlertScore,FormAlertRankInRace,FormAlertLabel,UP_Flag,Is1UP,Is2UP,Is3UP,HER_raw,HER_Index,HER_Rank,HER_RaceRank,HER_RacePct,HER_Dominance,HER_WinProb,HER_ImpliedProb,HER_Overlay,TopHorseRank,TopHorseRaceRank,TopHorseScore,BaseTopHorseScore,ContenderLabel,TopGap2,TopGap3,TopSeparationRaw,top_gap2_score,top_gap3_score,top_separation_score,DistanceFromRaceLeader,superfav_probpct_num,_horse_norm,_dominant_norm,is_dominant_horse,dayssince_14_or_less,ml_odds_score,he_line_odds_score,superfav_score,dominant_flag_score,dominance_index_score,dayssince_score,her_winprob_score,her_index_score,her_rank_score,her_racerank_score,racedate.1,Pred_OffOdds,Pred_Place Pool%,Pred_Show Pool %,Pred_ImpliedProb,ML_Prob,HE_Prob_Raw,HE_Prob_Market,HE_Prob_Tilted,HE_Adjusted_Odds_PreRound,HE_Adjusted_Odds_Rounded,HE_Adjusted_Prob_FromRounded,HE_Adjusted_Prob,HE_Adjusted_Odds,HE_Adjusted,ML_Market_Total,HE_Raw_Market_Total,HE_Adjusted_Market_Total
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",2,Chapter Twelve,"Gray, Shawn T",78.3,78.8,85.0,86.0,85.0,87.0,86.0,14,12.31,13.31,"5.39,2.47,29.06",1842273-83-5,50.0,0,0,0,0,1,"2026-05-29,2026-05-15,2026-05-08",1,85.67,11.5,86.3,86.0,5.299999999999997,17,10,1.7,71.7,2.0,btv20260725hmpXML.xml,1.0,7,0,2,2,2,0,1,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.695687741476,0.9612988526328348,1.972787847664287,2.188414926744678,1.1669476837443844,-0.0954476384684315,0.8741398841201234,1.4590279930157313,0.5500913313380231,1.0,Recent,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5/2,3.5,3.5,0.6735086410511202,67.4%,True,0.2491358669626921,4.013874084817138,0.2857142857142857,-0.0365784187515935,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,-0.06,81.9,75.51375,6.39,,,46.0,,83.42999999999999,-5.429999999999993,BelowTrend,,,-5.429999999999993,-3.279999999999993,8.0,Declining,2UP,False,True,False,28.11443689307913,744.9,65,1,1.0,4.5202857250891455,0.9526,0.2857,0.6669,50,1,15.0366,13.8191,Prime Standout,2.7391000000000005,4.2575,3.2705,0.509116930912065,0.6775574511426571,0.5797730898776813,0.0,0.674,chapter twelve,chapter twelve,1,1,0.9166666666666666,0.9741207929334654,0.674,1.0,0.1165501165501165,1.0,1.0,0.8385680513340088,0.9632395175186674,1.0,,3.2816097321428583,31.601666666666688,27.804166666666674,0.3047284965683625,28.571428571428573,24.913586696269213,27.554738561806296,27.711256678719614,3.608641829541902,3.5,28.571428571428573,28.20946118079508,3.5449099633310155,3.5,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",5,Baby Yoda,"Monti, Drew",77.2,77.1,81.0,82.0,81.0,83.0,82.0,15,10.61,11.61,"1.51,4.05,26.26",255-5?23612,56.0,0,2,0,1,5,"2026-07-10,2026-07-03,2026-06-26",8,81.25,7.9,82.0,82.0,1.0,9,10,0.9,79.5,2.0,btv20260725hmpXML.xml,2.0,7,0,2,2,2,0,1,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.5916461676361779,0.7078234786824449,0.657595949221429,0.5121822168976928,0.7685758882592335,0.7587113302745728,0.8741398841201234,0.1292809614064571,0.5500913313380231,1.0,Recent,1.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,19.0,3/1,4.0,4.0,0.9171627857462294,91.7%,True,0.3317864509173752,3.0139868497795588,0.25,0.0817864509173752,Overlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,0.362,79.11,75.51375,3.6,,,46.0,,80.27699999999999,-1.2769999999999868,BelowTrend,,,-1.2769999999999868,0.8530000000000129,5.0,Stable / Neutral,,False,False,False,23.594151167989985,705.5,135,2,0.8571428571428571,,0.895,0.25,0.645,326,2,11.08,11.08,Main Threat,0.0,0.0,0.0,0.0,0.0,0.0,2.7391000000000005,0.917,baby yoda,chapter twelve,0,0,0.9,0.9848128212419108,0.917,0.0,0.0,0.0,0.936367653557225,0.7942136665540921,0.92303273980471,0.8888888888888888,,8.731782142857147,24.97583333333333,22.384583333333325,0.1145241582576621,25.0,33.17864509173752,36.69599654531838,37.052927569689,2.6988420769700423,2.7,37.03703703703704,36.567820049178806,2.7346448288553553,2.7,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",1,Fashion On A Star,"Cummings, Kyle",75.0,78.6,80.0,82.0,80.0,82.0,82.0,15,17.53,18.53,"7.06,7.27,38.26",82784346-14,30.0,0,2,0,1,3,"2026-07-10,2026-07-01,2026-06-17",6,81.0,9.0,82.1,82.5,1.0999999999999943,6,10,0.6,75.4,3.0,btv20260725hmpXML.xml,3.0,2,0,2,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.6834475563183736,0.6444546351948475,0.3287979746107145,0.5121822168976928,-0.0281677027110732,1.6128702990175772,1.5574025208165123,-0.3693741754470208,1.168944079093299,1.0,Recent,3.0,3.0,2.0,3.0,6.0,6.0,3.0,2.0,14.0,3/1,4.0,4.0,0.7461765049777915,74.6%,True,0.085132486484722,11.74639718974332,0.25,-0.1648675135152779,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,SLI,1.406,,,,,,46.0,,78.78,0.2199999999999988,AboveTrend,,,0.2199999999999988,2.3499999999999988,4.0,Improving,3UP,False,False,True,7.687372792579363,567.0,550,3,0.7142857142857143,,0.7834,0.25,0.5334,580,3,9.5616,9.5616,Secondary Threat,0.0,0.0,0.0,0.0,0.0,0.0,4.2575,0.746,fashion on a star,chapter twelve,0,0,0.9,0.8914351129522907,0.746,0.0,0.0,0.0,0.8130799823243482,0.6382978723404256,0.684663986214819,0.7777777777777778,,9.39032107142858,25.00958333333332,23.284166666666664,0.1064926313374572,25.0,8.513248648472203,9.415759508261832,9.397923340805656,10.640648617104734,11.0,9.090909090909092,8.975737648434798,11.141145599040335,11.0,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",7,Grinder,"Chindano, Joseph Jr",77.5,76.0,80.0,81.0,80.0,82.0,81.0,15,8.39,9.39,"8.11,4.60,12.46",6276114237,50.0,0,2,0,1,3,"2026-07-10,2026-07-03,2026-06-26",6,80.75,9.0,81.4,81.5,0.4000000000000057,12,10,1.2,75.4,-1.0,btv20260725hmpXML.xml,3.0,2,0,2,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.5243251492692347,0.6444546351948475,0.3287979746107145,0.0931240394359463,0.8772227415733651,1.6128702990175772,-1.175648025969043,0.6279360982599349,-1.306466911927805,1.0,Recent,3.0,3.0,4.0,3.0,3.0,2.0,3.0,7.0,10.0,10/1,11.0,11.0,0.340002471521743,34.0%,True,0.144752789265419,6.908329746699372,0.0909090909090909,0.0538436983563281,Overlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,-0.336,,,,,,46.0,,78.14999999999999,-5.149999999999992,BelowTrend,,,-5.149999999999992,-3.019999999999992,7.0,Declining,,False,False,False,6.314147334310007,555.0,619,4,0.5714285714285714,,0.6055,0.0909,0.5146,869,4,8.0132,8.0132,Depth,0.0,0.0,0.0,0.0,0.0,0.0,5.805900000000001,0.34,grinder,chapter twelve,0,0,0.6666666666666667,0.943169700860346,0.34,0.0,0.0,0.0,0.616548828988069,0.6247889226612631,0.6450315910396324,0.6666666666666667,,18.108973319444445,14.487499999999988,14.950416666666667,0.0552212421079804,9.090909090909092,14.475278926541906,16.00983958242414,16.003763965549076,6.2485300467607265,6.0,16.666666666666668,16.455519022130463,6.076988508567456,6.0,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",4,All About Thechase,"Mcneight, David Iii",76.3,76.6,78.0,80.0,78.0,80.0,80.0,15,20.69,21.69,"12.88,26.08,23.10",45-24313665,40.0,0,1,0,3,0,"2026-07-10,2026-07-03,2026-06-26",4,79.5,6.5,79.9,80.5,-1.0999999999999943,2,10,0.2,75.5,2.0,btv20260725hmpXML.xml,3.0,0,0,0,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.5610457047421127,0.5177169482196525,-0.3287979746107145,-0.3259341380258002,0.4426353283168336,1.6128702990175772,0.8741398841201234,-1.0342476912516578,0.5500913313380231,1.0,Recent,6.0,5.0,5.0,5.0,7.0,4.0,5.0,4.0,9.0,6/1,7.0,7.0,0.3635893312490316,36.4%,True,0.0617991531513887,16.181451508733637,0.1428571428571428,-0.0810579897057541,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,SLI,2.034,,,,,,46.0,,76.57,1.4300000000000068,AboveTrend,,,1.4300000000000068,3.5600000000000067,3.0,Improving,,False,False,False,-7.544781233626669,434.3,1178,5,0.4285714285714285,,0.3945,0.1429,0.2516,1110,5,6.6308,6.6308,Depth,0.0,0.0,0.0,0.0,0.0,0.0,7.188300000000001,0.364,all about thechase,chapter twelve,0,0,0.8,0.8440100387374416,0.364,0.0,0.0,0.0,0.3834511710119311,0.4889114038050208,0.3239517518667433,0.5555555555555556,,13.771039867063507,17.76041666666666,17.60166666666667,0.0726161575054126,14.285714285714286,6.179915315138871,6.835063650961767,6.59345580918498,15.166553457550366,15.0,6.666666666666667,6.582207608852185,15.19247127141864,15.0,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",6,Cyclone Ben,"Cummings, Kevin",73.1,74.0,77.0,79.0,77.0,79.0,79.0,15,3.95,4.95,"0.44,0.52,10.90",32368-98412,50.0,0,0,0,1,5,"2026-07-10,2026-07-01,2026-06-24",6,79.0,9.0,79.0,78.5,-2.0,14,10,1.4,77.0,-1.0,btv20260725hmpXML.xml,2.0,0,0,0,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.4019232976929736,0.4543481047320551,-0.657595949221429,-0.7449923154875466,-0.7162644403672485,0.7587113302745728,-1.175648025969043,0.9603728561622534,-1.306466911927805,1.0,Recent,3.0,5.0,7.0,8.0,2.0,7.0,7.0,8.0,7.0,15/1,16.0,16.0,0.1207425430842717,12.1%,False,0.0105140527158875,95.11080332409972,0.0625,-0.0519859472841124,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,-0.562,,,,,,46.0,,75.14999999999999,-2.1499999999999915,BelowTrend,,,-2.1499999999999915,-0.0199999999999917,6.0,Stable / Neutral,,False,False,False,-10.340590502018708,409.9,1266,6,0.2857142857142857,,0.2166,0.0625,0.1541,1648,6,3.5576,3.5576,Depth,0.0,0.0,0.0,0.0,0.0,0.0,10.261500000000002,0.121,cyclone ben,chapter twelve,0,0,0.5,0.0,0.121,0.0,0.0,0.0,0.1869200176756517,0.4614432061240572,0.273406088454911,0.4444444444444444,,45.21151490674602,12.987499999999995,13.970000000000002,0.0221182590776401,6.25,1.0514052715887579,1.1628673837425254,1.0980986289997798,91.06650109479378,91.0,1.098901098901099,1.0849792761844261,92.16765904660642,91.0,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",8,Wildandfree,"Bucceri, Denny",71.2,73.8,77.0,79.0,77.0,80.0,79.0,15,17.89,18.89,"13.51,34.34,5.82",62575-76-133,40.0,0,0,0,2,5,"2026-07-10,2026-07-03,2026-06-24",7,77.0,7.5,79.4,79.5,-1.5999999999999943,12,10,1.2,72.3,-1.0,btv20260725hmpXML.xml,-1.0,0,0,0,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.3896831125353474,0.4543481047320551,-0.3287979746107145,-0.7449923154875466,-1.4043611780234186,-1.80376557595444,-1.175648025969043,0.6279360982599349,-1.306466911927805,1.0,Recent,2.0,5.0,7.0,5.0,3.0,8.0,7.0,9.0,5.0,15/1,16.0,16.0,0.0412263728171792,4.1%,False,0.0105140527158875,95.11080332409972,0.0625,-0.0519859472841124,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,-1.068,,,,,,46.0,,75.1,2.9000000000000057,AboveTrend,,,2.9000000000000057,5.030000000000006,2.0,Improving,,False,False,False,-12.8816139693524,387.8,1357,7,0.1428571428571428,,0.105,0.0625,0.0425,1706,7,2.8576,2.8576,Depth,0.0,0.0,0.0,0.0,0.0,0.0,10.9615,0.0409999999999999,wildandfree,chapter twelve,0,0,0.5,0.0,0.0409999999999999,0.0,0.0,0.0,0.063632346442775,0.4365642237982663,0.2211372774267662,0.3333333333333333,,45.17638990674602,13.78124999999999,14.361666666666668,0.0221354561987847,6.25,1.0514052715887579,1.1628673837425254,1.0948739957079898,91.33471101881085,91.0,1.098901098901099,1.0849792761844261,92.16765904660642,91.0,122.14035964035963,90.41489049292599,100.0
BTVA,1,2026-07-25,5:00,TROT,8000.0,81.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",3,Cigar Night,"Macdonald, Brett",70.8,76.1,74.0,78.0,74.0,76.0,78.0,7,21.9,22.9,"25.33,19.49,20.87",43755525-6-6,20.0,0,0,0,1,0,"2026-07-18,2026-07-04,2026-06-20",1,74.0,7.5,77.8,77.5,-3.200000000000003,0,10,0.0,68.2,2.0,btv20260725hmpXML.xml,-1.0,0,0,0,0,0,0,0,159.66666666666666,Chapter Twelve,1.6666666666666667,0.2926449135468941,0.5304452418480474,0.2642415742692628,-1.6439898730535725,-1.1640504929492932,-1.5492236491089308,-1.80376557595444,0.8741398841201234,-1.3666844491539765,0.5500913313380231,0.0,Fresh,8.0,5.0,9.0,9.0,9.0,9.0,9.0,6.0,2.0,12/1,13.0,13.0,0.0327121434119425,3.3%,False,0.0105140527158875,95.11080332409972,0.0769230769230769,-0.0664090242071893,Underlay,2026-07-25,TROT,,Wide Open,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS OR NW 4 (F& M 5) EXT PM RACES LT PLANNED POST TIME 5:00 PM Please Check Tickets BEFORE Leaving Mutuel Window",81.0,8000.0,8,159.66666666666666,0,0,2,2,42.173,13.167,92.097,False,NW Condition,69,Mid,20260725,20260725,,0.362,,,,,,46.0,,70.11999999999999,2.8800000000000097,AboveTrend,,,2.8800000000000097,5.17000000000001,1.0,Improving,2UP,False,True,False,-34.943122482960725,195.6,1717,8,0.0,,0.0474,0.0769,-0.0295,1707,8,2.8421,2.8421,Depth,0.0,0.0,0.0,0.0,0.0,0.0,10.977,0.033,cigar night,chapter twelve,0,1,0.6,0.0,0.033,0.0,0.0,1.0,0.0,0.2201958797703478,0.0143595634692705,0.2222222222222222,,37.05052207936504,15.5075,17.221666666666664,0.0269901729821221,7.6923076923076925,1.0514052715887579,1.1628673837425254,1.0477000113439072,95.44716895796141,95.0,1.0526315789473684,1.0392959382398186,96.21898471898473,95.0,122.14035964035963,90.41489049292599,100.0
BTVA,2,2026-07-25,5:20,PACE,6500.0,78.0,"CLASS C OR OPT CL $7,500 AE: NW $1,500 LAST 4 STS OR NW 3 EXT PM RACES LT D. MONTI 2 OVER 6 Please Check Tickets BEFORE Leaving Mutuel Window",3,Sharky Bear,"Mcneight, David Iii",77.4,75.3,83.0,77.0,83.0,91.0,77.0,15,3.61,4.61,"1.00,9.30,0.54",72212712X45,60.0,0,1,0,1,2,"2026-07-10,2026-07-04,2026-05-08",4,77.17,8.35,77.3,77.0,-0.7000000000000028,16,10,1.6,75.4,2.0,btv20260725hmpXML.xml,3.0,4,0,0,2,2,0,0,154.44444444444446,Sharky Bear,0.0333333333333361,-0.3746040543685945,0.4814845012175431,0.8345611656576397,1.6600080492579248,-0.184900065408415,1.2696920344185425,1.6128702990175772,0.8741398841201234,1.2686495839469685,0.5500913313380231,1.0,Recent,4.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,13.0,5/2,3.5,3.5,0.7482880393349199,74.8%,True,0.2403489804927005,4.1606167746169005,0.2857142857142857,-0.0453653052215851,Underlay,2026-07-25,PACE,,Wide Open,"CLASS C OR OPT CL $7,500 AE: NW $1,500 LAST 4 STS OR NW 3 EXT PM RACES LT D. MONTI 2 OVER 6 Please Check Tickets BEFORE Leaving Mutuel Window",78.0,6500.0,8,154.44444444444446,0,0,1,2,32.389,29.657,90.95,False,NW Condition,68,Mid,20260725,20260725,SLI,1.466,76.9,72.3625,4.54,,,41.0,,81.13,-9.129999999999995,BelowTrend,,,-9.129999999999995,-7.089999999999995,8.0,Strong Declining,3UP,False,False,True,15.309427085647547,633.4,328,2,0.8571428571428571,,0.895,0.2857,0.6093,184,1,12.7708,12.0508,Prime Standout,1.477500000000001,2.7822000000000013,1.9341,0.2746231482686198,0.4427716595582152,0.342864740294274,0.0,0.748,sharky bear,sharky bear,1,0,0.9166666666666666,0.972551638994484,0.748,1.0,0.0023310023310025,0.0,0.936367653557225,0.7130473938984577,0.8121769098219414,0.8888888888888888,,8.832364308261187,33.82791666666669,26.279583333333324,0.1132199675079829,28.571428571428573,24.03489804927005,33.5401683024615,33.45559491709788,2.9890366692864814,3.0,33.333333333333336,33.00127964145549,3.030185528756957,3.0,120.04689754689755,71.66004008246475,100.0
BTVA,2,2026-07-25,5:20,PACE,6500.0,78.0,"CLASS C OR OPT CL $7,500 AE: NW $1,500 LAST 4 STS OR NW 3 EXT PM RACES LT D. MONTI 2 OVER 6 Please Check Tickets BEFORE Leaving Mutuel Window",5,Helsinki,"Cummings, Kevin",75.5,73.6,78.0,79.0,78.0,79.0,79.0,15,33.45,34.45,"36.07,54.60,9.68",5532312764,50.0,0,2,0,3,0,"2026-07-10,2026-07-03,2026-06-26",5,78.0,7.5,79.1,79.5,1.0999999999999943,8,10,0.8,75.2,2.0,btv20260725hmpXML.xml,2.0,4,0,2,0,2,0,0,154.44444444444446,Sharky Bear,0.0333333333333361,-0.3746040543685945,0.3774429273777211,0.5177169482196525,-0.3772745566495297,1.4792005232672727,0.0290215322152762,0.7587113302745728,0.8741398841201234,-0.6748136084824295,0.5500913313380231,1.0,Recent,3.0,1.0,1.0,5.0,6.0,5.0,4.0,7.0,13.0,6/1,7.0,7.0,0.6087252858527707,60.9%,True,0.1672763761936123,5.978130461426067,0.1428571428571428,0.0244192333364694,Neutral,2026-07-25,PACE,,Wide Open,"CLASS C OR OPT CL $7,500 AE: NW $1,500 LAST 4 STS OR NW 3 EXT PM RACES LT D. MONTI 2 OVER 6 Please Check Tickets BEFORE Leaving Mutuel Window",78.0,6500.0,8,154.44444444444446,0,0,1,2,32.389,29.657,90.95,False,NW Condition,68,Mid,20260725,20260725,LI,0.666,74.4,72.3625,2.04,,,41.0,,75.78,-3.780000000000001,BelowTrend,,,-3.780000000000001,-1.740000000000001,6.0,Stable / Neutral,,False,False,False,17.36578379705246,651.3,259,1,1.0,2.056356711404911,0.9526,0.1429,0.8097,403,2,10.5733,10.5733,Main Threat,0.0,0.0,0.0,0.0,0.0,0.0,1.477500000000001,0.609,helsinki,sharky bear,0,0,0.8,0.9531165396058812,0.609,0.0,0.0,0.0,1.0,0.7331982438365416,0.851809304997128,1.0,,12.540352757936525,16.1875,15.430833333333332,0.0797425733791356,14.285714285714286,16.727637619361232,23.34304809223027,23.92968217129808,4.178910496351797,4.0,25.0,24.750959731091612,4.040247371675943,4.0,120.04689754689755,71.66004008246475,100.0
