Track,Race,RaceDate,PostTime,Gait,Purse,TCR,Condition,PP,Horse,Driver,Power,Pace,Speed,Class,AvgSpd,BestSpd,AvgCR,DaysSince,AvgFinalOdds_to1,AvgFinalOdds_DEC,AvgFinalOdds_Used,FormString,ITM_Pct,FP_Grit_Count,FP_Gain_Count,FP_OutsideBoard_Count,FP_Improve_Count,FP_FinishBonus_Sum,FP_PP_Dates_Used,FormPoints,AvgWinClass,MedianPurse10,AvgCR_10,MedianCR_10,ClassVsToday,EarlySpeedPoints,EarlySpeedStarts,EarlySpeedRating,PP_Power_Last,PostRTG_Fast,SourceXML,DriverRating,PowerPoints,PP_Pace2,PP_AvgCR2,PP_BestSpd2,PP_AvgSpd2,PP_Power2,PP_Bonus1,FieldStrength,DominantHorse,DominanceIndex,FieldStrength_Z,Pace_Z,AvgSpd_Z,BestSpd_Z,AvgCR_Z,Power_Z,DriverRating_Z,PostRTG_Fast_Z,EarlySpeedRating_Z,PostRTG_Z,Layoff_Tier,Layoff_Label,Rank_FormPoints,Rank_PowerPoints,Rank_AvgCR,Rank_BestSpd,Rank_EarlySpeed,Rank_Power,Rank_Speed,Rank_Pace,IndexValue,Horse_norm,ClosingGap,LayoffFlag,ImprovementFlag,ClosingRank,S1_TacticalSpeed,S2_PostTrip,S3_DriverITM,S4_UpCycle,S5_LI,LikelySecondScore,LikelySecondRank,LikelySecondTag
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",1,Gone Goodbye,"Cummings, Kevin",72.2,71.1,73.0,74.0,73.0,75.0,74.0,8,2.93,3.93,"7.10,0.70,1.00",6X66-512-2256,40.0,0,0,0,0,2,"2025-11-13,2025-11-06,2025-10-30",2,70.5,7.0,74.0,73.0,1.0,17,10,1.7,73.4,3.0,btv20251121hmpXML.xml,2.0,6,0,2,2,2,0,0,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,1.2196113884921431,0.2406649574603832,-0.0276818266179141,-0.2217300350792474,1.2256314958522858,0.2666666666666668,1.295047816476352,1.681659472363721,1.295047816476352,0.0,Fresh,7.0,3.0,6.0,4.0,1.0,2.0,4.0,2.0,13.0,GONE GOODBYE,10.0,,LI,11.0,1,1,2,0,2,6,2.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",2,Medeena,"Mcdonough, Shawn",72.3,71.2,76.0,75.0,76.0,79.0,75.0,6,12.92,13.92,"4.68,29.71,4.37",45-8X7112378,40.0,0,0,0,2,1,"2025-11-07,2025-10-31,2025-10-24",3,74.33,7.5,75.2,75.5,2.200000000000003,15,10,1.5,74.2,2.0,btv20251121hmpXML.xml,1.0,7,0,2,2,2,0,1,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,1.2663199097535482,1.1689440790932977,0.9688639316269656,0.1773840280633968,1.4261893769917384,-0.9333333333333332,0.7122762990619937,1.2159691569399214,0.7122762990619937,0.0,Fresh,6.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,13.0,MEDEENA,5.17,,,9.0,1,2,2,0,0,5,3.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",3,Cheques In Limbo,"Cummings, Kyle",71.1,69.0,67.0,70.0,67.0,69.0,70.0,7,13.03,14.03,"16.24,7.39,15.45",17472353-75,40.0,0,0,0,1,1,"2025-11-14,2025-10-24,2025-10-06",2,67.5,9.75,69.5,69.0,-3.5,10,10,1.0,69.8,2.0,btv20251121hmpXML.xml,3.0,0,0,0,0,0,0,0,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,0.2387324420027212,-1.6158932858054451,-1.5225004639852338,-1.8181862876498247,-0.9805051966818344,1.4666666666666668,0.7122762990619937,0.051743368380422,0.7122762990619937,0.0,Fresh,7.0,9.0,9.0,9.0,5.0,8.0,9.0,5.0,7.0,CHEQUES IN LIMBO,7.37,3UP,LI,10.0,0,2,2,2,2,8,1.0,LIKELY_SECOND
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",4,Simonthediamond,"Yetman, Dan",70.7,69.6,74.0,75.0,74.0,79.0,75.0,7,47.59,48.59,"48.51,68.25,26.00",555423137X6,40.0,0,1,0,2,1,"2025-11-14,2025-08-07,2025-07-31",4,73.0,9.65,75.1,74.5,2.0999999999999943,8,10,0.8,68.0,2.0,btv20251121hmpXML.xml,2.0,6,0,2,2,2,0,0,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,0.5189835695711256,0.5500913313380213,0.9688639316269656,0.1773840280633968,-1.782736721239673,0.2666666666666668,0.7122762990619937,-0.4139469470433776,0.7122762990619937,0.0,Fresh,3.0,3.0,4.0,2.0,6.0,9.0,3.0,3.0,14.0,SIMONTHEDIAMOND,2.9,2UP,,6.0,0,2,2,1,0,5,3.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",5,Bj'S Smitty,"Baumeister, Michael",71.8,69.4,70.0,73.0,70.0,71.0,73.0,9,20.35,21.35,"1.98,45.83,13.25",3352286331,70.0,0,1,1,1,5,"2025-11-12,2025-11-05,2025-10-29",8,73.0,6.3,72.9,73.0,-0.0999999999999943,11,10,1.1,70.7,2.0,btv20251121hmpXML.xml,1.0,2,0,2,0,0,0,0,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,0.4255665270483285,-0.6876141641725311,-1.024227584862794,-0.6208440982218918,0.4233999712944187,-0.9333333333333332,0.7122762990619937,0.2845885260923221,0.7122762990619937,1.0,Recent,1.0,7.0,7.0,8.0,3.0,3.0,7.0,4.0,13.0,BJS SMITTY,2.31,,,5.0,1,1,2,0,0,4,5.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",6,Hp Maestro,"Bucceri, Denny",71.6,68.4,69.0,73.0,69.0,72.0,73.0,7,32.3,33.3,"67.95,27.70,1.26",4466-515148,20.0,0,1,0,2,3,"2025-11-14,2025-11-07,2025-10-31",6,69.5,6.9,73.1,73.5,0.0999999999999943,11,10,1.1,73.9,-1.0,btv20251121hmpXML.xml,1.0,2,0,2,0,0,0,0,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,-0.0415186855656831,-0.9970405380501692,-0.775091145301574,-0.6208440982218918,0.0222842090154852,-0.9333333333333332,-1.0360382531810817,0.2845885260923221,-1.0360382531810817,0.0,Fresh,2.0,7.0,7.0,7.0,3.0,4.0,8.0,6.0,8.0,HP MAESTRO,4.37,,,8.0,1,0,2,0,0,3,10.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",7,Blantons Blue,"Mego, Kenneth",71.4,65.7,77.0,79.0,77.0,81.0,79.0,7,15.64,16.64,"2.88,13.12,30.91",5-55-5625564,10.0,0,1,0,0,0,"2025-11-14,2025-11-07,2025-10-31",1,77.0,8.8,78.6,78.5,5.599999999999994,4,10,0.4,76.0,-1.0,btv20251121hmpXML.xml,1.0,7,0,2,2,2,0,1,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,-1.302648759623516,1.4783704529709356,1.4671368107494056,1.773840280633974,-0.3788315532634198,-0.9333333333333332,-1.0360382531810817,-1.3453275778909772,-1.0360382531810817,0.0,Fresh,9.0,1.0,1.0,1.0,9.0,7.0,1.0,9.0,8.0,BLANTONS BLUE,4.21,,,7.0,0,0,2,0,0,2,11.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",8,Vondell Kemp,"Mcneight, David Iii",71.6,66.0,72.0,76.0,72.0,75.0,76.0,7,36.78,37.78,"26.34,21.21,62.80",33458-7263-3,50.0,0,2,0,0,2,"2025-11-14,2025-10-31,2025-10-24",4,76.0,8.3,75.5,76.0,2.5,6,10,0.6,72.9,-1.0,btv20251121hmpXML.xml,3.0,5,0,2,2,0,0,1,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,-1.1625231958393138,-0.0687614164172548,-0.0276818266179141,0.5764980912060411,0.0222842090154852,1.4666666666666668,-1.0360382531810817,-0.8796372624671775,-1.0360382531810817,0.0,Fresh,3.0,5.0,2.0,4.0,7.0,4.0,5.0,7.0,11.0,VONDELL KEMP,0.0,2UP,,1.0,1,0,2,1,0,4,5.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",8,Vondell Kemp,"Mcneight, David Iii",71.6,66.0,72.0,76.0,72.0,75.0,76.0,7,36.78,37.78,"26.34,21.21,62.80",33458-7263-3,50.0,0,2,0,0,2,"2025-11-14,2025-10-31,2025-10-24",4,76.0,8.3,75.5,76.0,2.5,6,10,0.6,72.9,-1.0,btv20251121hmpXML.xml,3.0,5,0,2,2,0,0,1,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,-1.1625231958393138,-0.0687614164172548,-0.0276818266179141,0.5764980912060411,0.0222842090154852,1.4666666666666668,-1.0360382531810817,-0.8796372624671775,-1.0360382531810817,0.0,Fresh,3.0,5.0,2.0,4.0,7.0,4.0,5.0,7.0,11.0,VONDELL KEMP,0.0,2UP,,1.0,1,0,2,1,0,4,5.0,
BTVA,1,2025-11-21,6:00 AM,TROT,7500.0,73.0,"CLASS B OR OPT CL $11,000 AE: NW $2,250 (F& M $2,700) LAST 4 STS PLANNED POST TIME 6:00 PM KE. CUMMINGS 1 OVER 7 Please Check Tickets BEFORE Leaving Mutuel Window",8,Vondell Kemp,"Mcneight, David Iii",71.6,66.0,72.0,76.0,72.0,75.0,76.0,7,36.78,37.78,"26.34,21.21,62.80",33458-7263-3,50.0,0,2,0,0,2,"2025-11-14,2025-10-31,2025-10-24",4,76.0,8.3,75.5,76.0,2.5,6,10,0.6,72.9,-1.0,btv20251121hmpXML.xml,2.0,5,0,2,2,0,0,1,146.77777777777777,Medeena,0.4000000000000009,-0.3539731012576944,-1.1625231958393138,-0.0687614164172548,-0.0276818266179141,0.5764980912060411,0.0222842090154852,0.2666666666666668,-1.0360382531810817,-0.8796372624671775,-1.0360382531810817,0.0,Fresh,3.0,5.0,2.0,4.0,7.0,4.0,5.0,7.0,10.0,VONDELL KEMP,0.0,2UP,,1.0,1,0,2,1,0,4,5.0,
