Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
BTVA,1,2025-11-22,6:00 AM,PACE,7500.0,78.0,152.71428571428572,7,0,0,1,1,29.249,13.366,91.746,Chalk,False,3.365,3.0,0.0,25.0,4,Da Ghetto Wizard,4.0,4(4); 2(4); 3(2),"1,4,3,7,5",,,"1,4,3,7","1,4,3,7,5","1,4,3,7,5,2"
BTVA,10,2025-11-22,9:00 AM,PACE,11000.0,85.0,168.625,7,0,0,2,3,5.612,7.919,14.251,Wide Open,True,3.828,2.0,0.0,54.0,1,Mach Le More A,6.0,1(6); 2(4); 3(4),"5,2,7,6,1",,,"5,2,7,6","5,2,7,6,1","5,2,7,6,1,3"
BTVA,11,2025-11-22,9:20 AM,PACE,7500.0,82.0,161.375,7,0,1,2,1,32.801,24.737,92.763,Chalk,False,2.348,2.0,0.0,30.0,5,Dance Machine,5.0,5(5); 2(4); 1(3),"4,3,1,5,2",,,"4,3,1,5","4,3,1,5,2","4,3,1,5,2,7"
BTVA,12,2025-11-22,9:40 AM,PACE,5000.0,76.0,150.8,9,0,0,1,2,31.983,5.743,90.53,Wide Open,False,4.581,2.0,0.0,45.0,3,Santana Beach,4.0,3(4); 2(3); 1(3),"5,6,8,4,9",,,"5,6,8,4","5,6,8,4,9","5,6,8,4,9,2"
BTVA,2,2025-11-22,6:20 AM,PACE,8800.0,82.0,162.375,7,0,1,3,3,12.849,12.874,39.307,Wide Open,True,2.626,2.0,0.0,59.0,2,Egomania,7.0,2(7); 1(4); 4(4),"3,2,1,4,6",,,"3,2,1,4","3,2,1,4,6","3,2,1,4,6,7"
BTVA,3,2025-11-22,6:40 AM,PACE,6300.0,78.0,150.28571428571428,6,0,0,0,0,19.733,19.729,56.474,Chalk,False,6.908,2.0,0.0,4.0,3,Long Train Runnin,5.0,3(5); 5(4); 2(4),"4,6,5,3,1",,,"4,6,5,3","4,6,5,3,1","4,6,5,3,1,2"
BTVA,4,2025-11-22,7:00 AM,PACE,8800.0,85.0,168.28571428571428,7,0,0,0,1,10.524,3.254,27.184,Chalk,False,5.94,2.0,0.0,20.0,3,Nautical Hanover,4.0,3(4); 1(4); 2(4),"5,3,7,4,1",,,"5,3,7,4","5,3,7,4,1","5,3,7,4,1,2"
BTVA,5,2025-11-22,7:20 AM,PACE,5000.0,74.0,147.66666666666666,8,0,0,2,2,18.889,12.37,59.571,Wide Open,False,3.811,2.0,0.0,46.0,5,Wayfairen Stranger,4.0,5(4); 4(4); 2(4),"3,5,1,6,4",,,"3,5,1,6","3,5,1,6,4","3,5,1,6,4,7"
BTVA,6,2025-11-22,7:40 AM,PACE,6300.0,75.0,151.125,7,0,1,3,3,24.617,31.173,60.738,Wide Open,True,2.644,2.0,0.0,59.0,5,Century Grizzly,5.0,5(5); 2(5); 4(4),"3,1,5,2,7",,,"3,1,5,2","3,1,5,2,7","3,1,5,2,7,6"
BTVA,7,2025-11-22,8:00 AM,TROT,12500.0,84.0,168.14285714285714,7,0,0,2,3,19.854,4.38,59.571,Wide Open,True,3.811,2.0,0.0,54.0,1,Valentine Express,3.0,1(3); 4(3); 3(3),"5,1,7,2,6",,,"5,1,7,2","5,1,7,2,6","5,1,7,2,6,4"
BTVA,8,2025-11-22,8:20 AM,PACE,12500.0,89.0,175.75,7,0,0,3,4,7.994,2.569,21.293,Balanced Competitive,True,4.34,2.0,0.0,71.0,5,Lip Reader A,4.0,5(4); 4(4); 1(4),"2,5,3,4,1",,,"2,5,3,4","2,5,3,4,1","2,5,3,4,1,6"
BTVA,9,2025-11-22,8:40 AM,PACE,6300.0,81.0,161.0,7,1,1,1,1,9.369,18.886,25.12,Chalk,False,1.964,2.0,1.44,23.6,2,Andrews Ideal,4.0,2(4); 3(4); 4(3),"5,4,1,2,6",,,"5,4,1,2","5,4,1,2,6","5,4,1,2,6,7"
CHRTN,1,2025-11-22,12:30 PM,PACE,3150.0,42.0,83.33333333333334,10,0,0,1,1,33.31,12.22,91.149,Wide Open,False,3.962,0.0,0.0,37.0,5,La Vie En Belle,4.0,5(4); 4(4); 2(3),"3,9,1,2,7",,,"3,9,1,2","3,9,1,2,7","3,9,1,2,7,6"
CHRTN,10,2025-11-22,3:12 AM,PACE,3750.0,72.0,142.0,7,1,1,1,0,19.823,20.644,61.789,Chalk,False,1.594,3.0,18.28,0.0,4,P L Quicksand,6.0,4(6); 5(3); 2(2),"1,4,5,2,7",,,"1,4,5,2","1,4,5,2,7","1,4,5,2,7,3"
CHRTN,11,2025-11-22,3:30 AM,PACE,2500.0,58.0,113.0,8,0,0,1,2,28.083,29.282,90.575,Wide Open,False,4.536,2.0,0.0,41.0,4,St Charlesfireball,4.0,4(4); 2(4); 1(3),"5,6,4,2,3",,,"5,6,4,2","5,6,4,2,3","5,6,4,2,3,8"
CHRTN,12,2025-11-22,3:48 AM,PACE,4000.0,73.0,147.57142857142856,7,1,2,2,1,20.095,24.973,59.395,Chalk,False,1.594,0.0,12.19,17.8,4,Merigo Magic,4.0,4(4); 5(4); 1(4),"3,4,6,2,5","3,4",,"3,4,6,2","3,4,6,2,5","3,4,6,2,5,7"
CHRTN,13,2025-11-22,4:06 AM,PACE,3250.0,66.0,130.375,8,1,2,2,0,29.304,14.588,93.517,Chalk,False,1.594,2.0,16.25,5.7,4,Neptune Seelster,4.0,4(4); 1(3); 5(2),"2,7,1,5,4","2,7",,"2,7,1,5","2,7,1,5,4","2,7,1,5,4,6"
CHRTN,14,2025-11-22,4:24 AM,PACE,3050.0,66.0,132.89999999999998,10,1,2,3,1,35.348,14.561,93.491,Wide Open,False,1.62,2.0,15.2,31.8,4,Jks Henry,4.0,4(4); 5(2); 3(2),"2,5,9,6,3",,,"2,5,9,6","2,5,9,6,3","2,5,9,6,3,99"
CHRTN,15,2025-11-22,4:42 AM,PACE,5500.0,78.0,152.33333333333331,6,1,1,1,0,2.647,6.801,8.572,Chalk,False,1.923,0.0,2.67,18.1,5,Phil My Beer,4.0,5(4); 4(4); 2(4),"3,6,5,1,4",,,"3,6,5,1","3,6,5,1,4","3,6,5,1,4,2"
CHRTN,16,2025-11-22,5:00 AM,PACE,3500.0,68.0,136.77777777777777,9,0,0,1,2,27.246,16.423,90.95,Wide Open,False,4.161,-1.0,0.0,45.0,3,Dusty Lane Zoro,4.0,3(4); 4(4); 2(4),"7,5,3,8,4",,,"7,5,3,8","7,5,3,8,4","7,5,3,8,4,2"
CHRTN,2,2025-11-22,12:48 PM,PACE,3000.0,54.0,110.6,5,1,1,2,1,23.044,61.55,61.55,Chalk,False,1.832,0.0,5.45,16.5,2,Buddysnvirgins,5.0,2(5); 4(4); 5(4),"3,4,2,1,5",,,"3,4,2,1","3,4,2,1,5",
CHRTN,3,2025-11-22,1:06 AM,PACE,2800.0,63.0,124.375,8,0,0,1,2,29.68,29.519,90.812,Wide Open,False,4.299,-1.0,0.0,41.0,4,J K Express,4.0,4(4); 1(3); 2(2),"6,7,4,1,2",,,"6,7,4,1","6,7,4,1,2","6,7,4,1,2,8"
CHRTN,4,2025-11-22,1:24 AM,PACE,4550.0,75.0,154.2,5,0,1,3,3,14.966,39.006,39.006,Wide Open,True,2.927,3.0,0.0,51.0,2,Middleton Terror,4.0,2(4); 5(4); 3(3),"4,3,2,1,5",,,"4,3,2,1","4,3,2,1,5",
CHRTN,5,2025-11-22,1:42 AM,PACE,2800.0,62.0,120.22222222222224,9,1,1,1,0,33.452,20.817,93.388,Chalk,False,1.723,3.0,12.48,8.5,5,Solid Silver,4.0,5(4); 4(4); 2(4),"1,6,5,4,9",,,"1,6,5,4","1,6,5,4,9","1,6,5,4,9,2"
CHRTN,6,2025-11-22,2:00 AM,PACE,3500.0,58.0,113.71428571428572,7,0,1,2,1,21.234,31.331,60.896,Chalk,False,2.487,0.0,0.0,30.0,4,Pineapple Express,4.0,4(4); 2(2); 7(2),"3,2,6,7,1",,,"3,2,6,7","3,2,6,7,1","3,2,6,7,1,4"
CHRTN,7,2025-11-22,2:18 AM,PACE,3800.0,63.0,125.5,6,2,2,2,0,21.969,32.224,61.789,Chalk,False,1.594,3.0,21.02,0.0,5,Swordfromthestone,6.0,5(6); 4(4); 3(2),"1,4,6,3,2","1,4",,"1,4,6,3","1,4,6,3,2","1,4,6,3,2,5"
CHRTN,8,2025-11-22,2:36 AM,PACE,2900.0,66.0,130.25,8,1,1,2,1,36.628,39.546,93.517,Chalk,False,1.594,2.0,16.25,17.7,4,Cowboy Logic,4.0,4(4); 2(4); 1(3),"5,1,3,4,7",,,"5,1,3,4","5,1,3,4,7","5,1,3,4,7,6"
CHRTN,9,2025-11-22,2:54 AM,PACE,3500.0,60.0,119.75,8,1,1,2,1,36.064,39.416,93.386,Chalk,False,1.724,2.0,11.02,23.0,4,Starship Destiny,4.0,4(4); 1(3); 3(2),"5,3,6,8,7",,,"5,3,6,8","5,3,6,8,7","5,3,6,8,7,2"
CNML,1,2025-11-22,6:15 AM,PACE,4400.0,62.0,124.11111111111111,9,1,1,1,1,35.034,16.259,93.491,Chalk,False,1.62,3.0,17.1,15.9,4,Westcoast Captive,5.0,4(5); 5(5); 2(4),"1,4,3,6,5",,,"1,4,3,6","1,4,3,6,5","1,4,3,6,5,7"
CNML,10,2025-11-22,9:42 AM,PACE,5000.0,66.0,132.6,10,0,0,0,1,28.152,6.621,89.116,Wide Open,False,5.995,0.0,0.0,32.0,4,Nicotime,5.0,4(5); 6(4); 5(3),"7,1,9,6,8",,,"7,1,9,6","7,1,9,6,8","7,1,9,6,8,99"
CNML,11,2025-11-22,10:05 AM,PACE,6300.0,68.0,136.0,10,2,2,2,1,28.919,11.022,93.517,Chalk,False,1.594,0.0,12.19,29.8,5,Son Of A Beach,4.0,5(4); 1(3); 2(3),"6,5,8,1,7",,,"6,5,8,1","6,5,8,1,7","6,5,8,1,7,2"
CNML,12,2025-11-22,10:28 AM,PACE,8900.0,73.0,143.55555555555554,9,0,0,0,2,30.081,5.674,89.983,Wide Open,False,5.128,1.0,0.0,40.0,1,Ehrmantraut,3.0,1(3); 7(2); 6(2),"4,1,7,6,9",,,"4,1,7,6","4,1,7,6,9","4,1,7,6,9,5"
