RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,1,Venier Hanover,1,3-41-54-7-84-26,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,1,Bolt Power,6,5244-548-47-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,1,Confidence Man,7,2441-65-63-24,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Captain Paradise,1,31-114671-7-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Egomania,2,5-5845236-71,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Seaside Sunset,5,2-5264221?-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Daylight Rush,6,533285322-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Daylight Rush,6,533285322-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,2,Brayden'S Bandit,7,355?65251-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,6,Century Grizzly,5,23447354-87,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,7,I Got The Looks,3,171286-334-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,9,Bet On Blake,4,25525X4547-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,10,Mach Le More A,1,6-2731264-32,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,10,Mea Culpa A,6,315644131-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,11,Dance Machine,5,138221622X2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,BTVA,12,Dine With Kings,2,1428?6537X1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,1,Woodmere Lebron,2,577-23-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,1,U Bettim Eazy,3,27-7X23,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,1,Ur In My Shui,8,777X6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,2,Buddysnvirgins,2,?7X68-74555-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,3,Evil Vintage,7,323252265-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,3,Shakemeup Hanover,8,266554?X56-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,4,Middleton Terror,2,111-4532?X34,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,4,Nothing Bugs Me,3,3441235-5?-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,5,Highway Of Heros,1,24-4-653233-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,5,Egamer,3,6?8X67456-27,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,5,James Reigns,7,73332854-56,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,6,Rosiesmightymoe,7,84558627X41,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,7,Swordfromthestone,5,75622416-25,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,8,Starship Glyde,5,5215555-37-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,8,Here Comes Emmett,7,7254662-56X1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,9,Dylan Sam,8,461732625-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,10,P L Quicksand,4,13-45-5-3X26X55,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,10,Sports Teller,5,1-16552224-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,10,Mr Kelly,6,642266141-2,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,12,Elroy Shiner,1,523344411-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,15,Phil My Beer,5,1321-3211-21,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CHRTN,16,Dusty Lane Zoro,3,76211123X25,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Bud Neigh Kid,1,23-6732-5-62-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,L Ds Boss,2,4X6531376-68,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Westcoast Captive,4,4-31-312565X3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Firm Ringo,5,411336644-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Ima Momas Boy,7,874481-868X4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Keepsgettingbettor,8,965465478-9,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,1,Classy Artist,9,17-7893-7-86-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,2,Kissinger,1,?X2-13,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,2,Hello Darkness,5,334-79X19,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,2,Gts Asher,6,5632-28-12-6?,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,2,Mighty Duke,7,3-3?-433-3-6X42,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Shes Like The Wind,1,32328X6323-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Bet On Amelia,2,89554-7X846-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Major Cussing,3,2221823X3X6-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Hf Base Player,4,45231X4531-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Happy Little Lill,5,8X8869X3224-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Ahoof Ahead,6,44876-7257-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,3,Captains Hideaway,9,3676-3X8477-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Bad Moon Horizon,2,767-3?3X683-5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Lukes Proclamation,5,8-5578-33X8-76,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Credit Is Magic,9,321127432-4,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,4,Mylittle Gingerman,99,2-3312-3-235-3,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Airline Pilot,2,452369989-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Chief Saratoga,5,77726-3857-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Hf Devan James,7,638542275-8,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,5,Chaseminkifyoudare,9,76765355-78,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,CNML,6,Hestonsfreechips,1,53462-2332-2,2UP
