Track,Race,RaceDate,Time,Gait,Purse,TCR,FieldStrength,FieldSize,Below2.0_Count,Below3.0_Count,Below5.0_Count,Cluster_2.5to6_Count,Odds_SD,Top5_Range,Odds_Range,RaceType,CompetitiveClusterFlag,FavOdds,FavPostRTG_Fast,DominancePenalty,CompetitivenessIndex,LikelySecond_PP,LikelySecond_Horse,LikelySecondScore_Top,LikelySecondMatrix_Top3,Exacta,Exacta_12,Exacta_123,Exacta_Top4,Exacta_Top5,Exacta_Top6
BR,1,2026-03-07,2:30 AM,TROT,13500.0,92.0,174.16666666666669,6,0,1,2,2,13.313,17.672,39.021,Wide Open,False,2.913,0.0,0.0,38.0,5,Double Class,2.0,5(2); 3(2); 2(2),"4,5,1,3,2",,,"4,5,1,3","4,5,1,3,2","4,5,1,3,2,6"
BR,10,2026-03-07,5:30 AM,PACE,13500.0,88.0,171.5,8,0,1,1,1,17.504,16.403,58.05,Chalk,False,2.939,0.0,0.0,29.0,6,Rockntheroad,4.0,6(4); 5(2); 8(2),"1,5,8,4,2",,,"1,5,8,4","1,5,8,4,2","1,5,8,4,2,7"
BR,11,2026-03-07,5:50 AM,TROT,10500.0,85.0,167.85714285714286,7,0,0,1,1,18.573,6.394,56.503,Chalk,False,4.486,0.0,0.0,25.0,5,Chapter Twelve,5.0,5(5); 6(3); 1(2),"4,1,7,3,2",,,"4,1,7,3","4,1,7,3,2","4,1,7,3,2,5"
BR,12,2026-03-07,6:10 AM,PACE,12000.0,84.0,164.16666666666669,6,0,0,1,1,19.888,13.001,59.197,Chalk,False,4.185,0.0,0.0,21.0,4,Carrythetorchman,4.0,4(4); 5(3); 2(3),"6,1,5,2,3",,,"6,1,5,2","6,1,5,2,3","6,1,5,2,3,4"
BR,13,2026-03-07,6:30 AM,PACE,5500.0,76.0,149.375,8,0,0,1,1,33.504,4.31,90.744,Chalk,False,4.367,0.0,0.0,29.0,1,Crystal Beach,3.0,1(3); 5(2); 2(2),"4,5,2,1,8",,,"4,5,2,1","4,5,2,1,8","4,5,2,1,8,6"
BR,2,2026-03-07,2:50 AM,PACE,7000.0,77.0,150.28571428571428,7,0,0,1,1,9.076,14.178,30.809,Chalk,False,3.008,0.0,0.0,25.0,5,Ramapo Ccl,4.0,5(4); 6(3); 3(3),"1,6,7,3,2",,,"1,6,7,3","1,6,7,3,2","1,6,7,3,2,4"
BR,3,2026-03-07,3:10 AM,TROT,12000.0,85.0,161.125,8,0,0,2,2,20.603,7.436,60.018,Wide Open,False,3.365,0.0,0.0,46.0,3,Said N Done As,4.0,3(4); 2(3); 4(3),"7,3,1,2,6",,,"7,3,1,2","7,3,1,2,6","7,3,1,2,6,8"
BR,4,2026-03-07,3:30 AM,PACE,10500.0,81.0,160.14285714285714,7,0,1,1,3,21.483,10.935,60.545,Wide Open,True,2.666,0.0,0.0,49.0,2,Dandys Bb Eight,5.0,2(5); 3(4); 4(3),"1,4,2,3,6",,,"1,4,2,3","1,4,2,3,6","1,4,2,3,6,5"
BR,5,2026-03-07,3:50 AM,PACE,8700.0,80.0,159.625,8,0,0,1,1,23.745,4.149,58.39,Chalk,False,4.993,0.0,0.0,29.0,4,Timeto Communicate,3.0,4(3); 6(3); 3(3),"2,4,7,5,8",,,"2,4,7,5","2,4,7,5,8","2,4,7,5,8,1"
BR,6,2026-03-07,4:10 AM,PACE,5500.0,74.0,147.625,8,0,0,2,2,18.862,11.895,57.006,Wide Open,False,3.983,0.0,0.0,46.0,4,Make My Deo,3.0,4(3); 6(3); 1(2),"2,4,7,1,5",,,"2,4,7,1","2,4,7,1,5","2,4,7,1,5,3"
BR,7,2026-03-07,4:30 AM,PACE,15500.0,89.0,172.83333333333331,6,0,1,1,1,20.951,8.911,60.47,Chalk,False,2.913,0.0,0.0,21.0,5,Davey Day Trader,4.0,5(4); 3(3); 1(2),"2,5,1,4,6",,,"2,5,1,4","2,5,1,4,6","2,5,1,4,6,3"
BR,8,2026-03-07,4:50 AM,TROT,15500.0,91.0,176.42857142857144,7,0,1,3,2,20.203,6.169,61.36,Wide Open,False,2.022,0.0,0.0,47.0,5,Dealin With Dewey,4.0,5(4); 4(4); 6(3),"7,6,2,5,1",,,"7,6,2,5","7,6,2,5,1","7,6,2,5,1,3"
BR,9,2026-03-07,5:10 AM,PACE,10500.0,84.0,162.0,7,0,1,1,1,9.082,19.29,30.188,Chalk,False,2.936,0.0,0.0,25.0,2,Street Art,3.0,2(3); 6(2); 4(2),"1,6,4,3,5",,,"1,6,4,3","1,6,4,3,5","1,6,4,3,5,2"
FLMD,1,2026-03-07,6:25 AM,PACE,8500.0,61.0,120.875,8,0,0,1,3,31.788,6.453,90.684,Wide Open,True,4.426,1.0,0.0,53.0,4,Ontop Rainstorm,4.0,4(4); 5(4); 1(2),"3,6,4,8,1",,,"3,6,4,8","3,6,4,8,1","3,6,4,8,1,2"
FLMD,2,2026-03-07,6:48 AM,PACE,9500.0,65.0,130.0,6,0,1,3,3,21.198,14.08,60.63,Wide Open,True,2.753,3.0,0.0,55.0,2,Tj Bliss,5.0,2(5); 3(4); 1(4),"5,4,2,3,1",,,"5,4,2,3","5,4,2,3,1","5,4,2,3,1,6"
FLMD,3,2026-03-07,7:11 AM,PACE,5500.0,59.0,120.66666666666666,6,0,0,1,2,20.443,10.837,58.984,Wide Open,False,4.399,3.0,0.0,33.0,4,Three Gems,5.0,4(5); 1(4); 2(4),"5,1,2,4,6",,,"5,1,2,4","5,1,2,4,6","5,1,2,4,6,3"
FLMD,4,2026-03-07,7:34 AM,PACE,5500.0,65.0,126.0,6,0,0,2,2,21.111,37.108,59.35,Wide Open,False,4.032,3.0,0.0,38.0,4,Ireland Seelster,4.0,4(4); 2(4); 3(4),"1,4,6,5,2",,,"1,4,6,5","1,4,6,5,2","1,4,6,5,2,3"
FLMD,5,2026-03-07,7:57 AM,PACE,6000.0,67.0,129.44444444444446,9,0,1,1,0,29.776,18.783,93.044,Chalk,False,2.067,3.0,0.0,21.0,2,Lucy And Ethel,6.0,2(6); 1(4); 3(2),"5,7,8,3,1",,,"5,7,8,3","5,7,8,3,1","5,7,8,3,1,2"
FLMD,6,2026-03-07,8:20 AM,PACE,8000.0,73.0,142.125,8,0,0,2,2,30.069,29.519,90.812,Wide Open,False,4.299,-1.0,0.0,46.0,2,Pootie Cat,7.0,2(7); 4(5); 1(4),"8,7,1,2,5",,,"8,7,1,2","8,7,1,2,5","8,7,1,2,5,6"
FLMD,7,2026-03-07,8:43 AM,PACE,7500.0,46.0,97.57142857142856,7,0,1,1,0,34.674,61.105,92.834,Chalk,False,2.277,3.0,0.0,13.0,1,Holdinmyown,4.0,1(4); 2(3); 7(3),"5,4,1,2,7",,,"5,4,1,2","5,4,1,2,7","5,4,1,2,7,3"
FLMD,8,2026-03-07,9:06 AM,PACE,9000.0,76.0,147.33333333333334,6,1,1,2,1,12.002,25.49,32.224,Chalk,False,1.594,3.0,21.02,5.0,4,Prescelto,5.0,4(5); 2(4); 3(3),"1,4,2,5,3",,,"1,4,2,5","1,4,2,5,3","1,4,2,5,3,6"
FLMD,9,2026-03-07,9:29 AM,PACE,5000.0,57.0,115.66666666666669,9,0,0,1,1,34.683,11.64,90.57,Wide Open,False,4.541,1.0,0.0,33.0,2,Smalltown Bad Girl,6.0,2(6); 4(6); 1(4),"3,6,2,4,1",,,"3,6,2,4","3,6,2,4,1","3,6,2,4,1,5"
M,1,2026-03-07,6:00 AM,PACE,17500.0,86.0,166.0,10,0,1,2,2,17.314,13.872,60.909,Wide Open,False,2.473,2.0,0.0,54.0,1,Gaitway Patriot,3.0,1(3); 3(2); 5(2),"6,3,5,2,9",,,"6,3,5,2","6,3,5,2,9","6,3,5,2,9,10"
M,10,2026-03-07,9:45 AM,PACE,16000.0,85.0,168.0,9,0,0,2,2,29.457,13.8,91.063,Wide Open,False,4.048,0.0,0.0,50.0,5,Diamondbeach,5.0,5(5); 1(4); 6(3),"8,1,3,2,5",,,"8,1,3,2","8,1,3,2,5","8,1,3,2,5,7"
M,11,2026-03-07,10:10 AM,PACE,12500.0,90.0,176.875,8,0,0,2,2,30.424,19.601,91.292,Wide Open,False,3.819,1.0,0.0,46.0,5,Borninlockdown Gb,4.0,5(4); 1(3); 4(2),"2,5,6,7,4",,,"2,5,6,7","2,5,6,7,4","2,5,6,7,4,1"
M,12,2026-03-07,10:35 AM,PACE,12500.0,85.0,167.88888888888889,9,0,0,2,2,27.415,12.903,91.283,Wide Open,False,3.828,2.0,0.0,50.0,4,Dance Partner,4.0,4(4); 3(3); 2(2),"6,3,2,5,7",,,"6,3,2,5","6,3,2,5,7","6,3,2,5,7,1"
