Track,Race,Horse,PP,Gait,WinningStreak,Tag
HAR,10,Hardt At Work,6,PACE,3,WS
HAR,4,Master Rigger,5,PACE,2,WS
HAR,5,Sweet Angel Boy,7,PACE,2,WS
LON,2,Muskie Man,1,TROT,2,WS
LON,8,Thatmomentinlife,1,PACE,2,WS
LON,8,Dalissecretweapon,4,PACE,2,WS
MR,6,Savage Lp,4,TROT,2,WS
MR,7,Straight And Sassy,7,PACE,2,WS
MVR,10,Salty Robyn N,5,PACE,2,WS
MVR,5,Clever Character,10,PACE,2,WS
MVR,8,Sky Dog,2,PACE,2,WS
OAKGR,10,Rip Wheeler,6,PACE,3,WS
PCD,10,Raspalia N,7,PACE,6,WS
PCD,12,Dilly Hanover,3,TROT,2,WS
PCD,7,Confident Volo,2,TROT,2,WS
PRC,3,Bag Pipe Major,6,PACE,2,WS
PRC,5,For Once Inmy Life,4,PACE,2,WS
PRC,9,Mullinax,1,PACE,2,WS
PRC,9,Gandolf The Black,2,PACE,2,WS
RCR,1,Odds On Valhalla,2,PACE,3,WS
RCR,8,Brother Dick,5,PACE,2,WS
STGA,11,Erica Jane,3,TROT,2,WS
WBSB,1,Hercules,3,TROT,2,WS
WBSB,10,Cool Cute Cookie,2,PACE,2,WS
WBSB,10,This Girl Rules,6,PACE,2,WS
WBSB,4,Delightful Yankee,3,TROT,2,WS
YR,1,Lucapelo A,3,PACE,2,WS
YR,10,Shine A Light,5,PACE,5,WS
YR,3,Manferno,7,PACE,2,WS
YR,5,Soho Firestone A,3,PACE,2,WS
YR,6,Huntinthelastdolar,6,PACE,2,WS
YR,7,Trendy Teen,7,PACE,2,WS
