Track,Race,RaceDate,PostTime,Gait,Condition,Purse,TCR,ClassTag,BasePoints,TCR_Points,Purse_Points,AdjustedPoints,ClassBand,SourceXML
CHRTN,1,2026-05-02,6:00 AM,PACE,N/W $301 L4 STARTS,2500.0,65.0,NW Condition,60,6.5,0.08333333333333333,67,Mid,chr20260502hmpXML.xml
CHRTN,2,2026-05-02,6:18 AM,PACE,5 YEARS OLD & YOUNGER WINNERS OF 1 BUT NOT MORE THAN 2 RACES LIFETIME  (N/W 1 DRAW INSIDE) (FILLIES & MARES),4050.0,57.0,NW Condition,60,5.7,0.6666666666666666,66,Mid,chr20260502hmpXML.xml
CHRTN,3,2026-05-02,6:36 AM,PACE,N/W $701 L4 STARTS +ALLOWANCES,3350.0,70.0,NW Condition,60,7.0,0.16666666666666666,67,Mid,chr20260502hmpXML.xml
CHRTN,4,2026-05-02,6:54 AM,PACE,N/W $1001 L4 STARTS & N/W $671 L3 DRAW OUTSIDE,3500.0,71.0,NW Condition,60,7.1000000000000005,0.3333333333333333,67,Mid,chr20260502hmpXML.xml
CHRTN,5,2026-05-02,7:12 AM,PACE,N/W $1001 L4 STARTS +ALLOWANCES,3500.0,70.0,NW Condition,60,7.0,0.3333333333333333,67,Mid,chr20260502hmpXML.xml
CHRTN,6,2026-05-02,7:30 AM,PACE,N/W $2601 L4 STARTS AE MARES N/W $3151 L4 +ALLOWANCES DRAW OUTSIDE,4950.0,79.0,NW Condition,60,7.9,0.9166666666666666,69,Mid,chr20260502hmpXML.xml
CHRTN,7,2026-05-02,8:03 AM,PACE,5 YEARS OLD & YOUNGER WINNERS OF 1 BUT NOT MORE THAN 2 RACES LIFETIME (PEI FOALED 3) (N/W 1 DRAW INSIDE) (HORSES & GELDINGS),4050.0,64.0,NW Condition,60,6.4,0.6666666666666666,67,Mid,chr20260502hmpXML.xml
CHRTN,8,2026-05-02,8:21 AM,PACE,5 YEARS OLD & YOUNGER WINNERS OF 3 BUT NOT MORE THAN 5 RACES LIFETIME,4450.0,63.0,"Low (Unknown, purse<7k)",10,6.300000000000001,0.8333333333333334,17,Low,chr20260502hmpXML.xml
CHRTN,9,2026-05-02,8:39 AM,PACE,N/W $1301 L4 STARTS AE N/W $1601 L4 & N/W 7 RACES LIFE & N/W $1035 L3 DRAW OUTSIDE,3800.0,73.0,NW Condition,60,7.300000000000001,0.5,68,Mid,chr20260502hmpXML.xml
CHRTN,10,2026-05-02,8:57 AM,PACE,FILLIES & MARES N/W $1301 L4 STARTS +ALLOWANCES & N/W $550 L3,3700.0,70.0,NW Condition,60,7.0,0.4166666666666667,67,Mid,chr20260502hmpXML.xml
CHRTN,11,2026-05-02,9:15 AM,PACE,PREFERRED 2 N/W $3151 L4 STARTS & OPEN MARES AE PREFERRED 1 DRAW OUTSIDE,6250.0,84.0,Open/Preferred,85,8.4,1.0,94,Top,chr20260502hmpXML.xml
CHRTN,12,2026-05-02,9:33 AM,PACE,N/W $1901 L4 STARTS AE N/W $2251 L4 +ALLOWANCES & N/W 9 RACES LIFE DRAW OUTSIDE,4350.0,82.0,NW Condition,60,8.200000000000001,0.75,69,Mid,chr20260502hmpXML.xml
CND,1,2026-05-02,12:45 PM,PACE,MAIDENS,6000.0,48.0,Maiden,45,4.800000000000001,0.5,50,Low,cnd20260502hmpXML.xml
CND,2,2026-05-02,1:07 AM,PACE,CLAIMING 5000 (PLUS ALLW),5000.0,62.0,Claimer,55,6.2,0.3,62,Mid,cnd20260502hmpXML.xml
CND,3,2026-05-02,1:29 AM,PACE,"FILLIES & MARES CLAIMING 8,000 (PLUS ALLW) NW 3 RACES OR NW 30,000 LIFETIME (AB F/S 37,500/EXTRA WIN) NW L5 ALLOWED 5000",5500.0,57.0,Claimer,55,5.7,0.4,61,Mid,cnd20260502hmpXML.xml
CND,4,2026-05-02,1:51 AM,PACE,CLAIMING 7000 (PLUS ALLW),6300.0,65.0,Claimer,55,6.5,0.6,62,Mid,cnd20260502hmpXML.xml
CND,5,2026-05-02,2:13 AM,PACE,"CLAIMING 10,000 (PLUS ALLW) AE: NW 1201 LAST 3 STARTS",7800.0,67.0,Claimer,55,6.7,0.8,62,Mid,cnd20260502hmpXML.xml
CND,6,2026-05-02,2:35 AM,PACE,FILLIES & MARES CLAIMING 5000 (PLUS ALLW),5000.0,58.0,Claimer,55,5.800000000000001,0.3,61,Mid,cnd20260502hmpXML.xml
CND,7,2026-05-02,2:57 AM,PACE,"HDCP NW 2 RACES OR 12,000 LIFETIME (AB F/S 15,000/EXTRA WIN) -  NW 3 RACES OR 20,000 LIFETIME (AB F/S 25,000/EXTRA WIN)",7000.0,61.0,NW Condition,60,6.1000000000000005,0.7,67,Mid,cnd20260502hmpXML.xml
